kicks,marks,handballs,disposals,effective_disposals,disposal_efficiency_percentage,goals,behinds,hitouts,tackles,rebounds,inside_fifties,clearances,clangers,free_kicks_for,free_kicks_against,contested_possessions,uncontested_possessions,contested_marks,marks_inside_fifty,one_percenters,bounces,goal_assists,time_on_ground_percentage,afl_fantasy_score,supercoach_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,turnovers,intercepts,tackles_inside_fifty,contest_def_losses,contest_def_one_on_ones,contest_off_one_on_ones,contest_off_wins,def_half_pressure_acts,effective_kicks,f50_ground_ball_gets,ground_ball_gets,hitouts_to_advantage,hitout_win_percentage,intercept_marks,marks_on_lead,pressure_acts,rating_points,ruck_contests,score_launches,shots_at_goal,spoils,match_margin,team_behinds,team_goals,team_score,aa_team,aa_squad,coaches_votes,captain,num_games,kicks_prop,marks_prop,handballs_prop,disposals_prop,goals_prop,behinds_prop,tackles_prop,inside_fifties_prop,clearances_prop,contested_possessions_prop,uncontested_possessions_prop,contested_marks_prop,marks_inside_fifty_prop,goal_assists_prop,turnovers_prop,shots_at_goal_prop,match_outcome_Loss,match_outcome_Win,player_position_BPR,player_position_C,player_position_CHB,player_position_CHF,player_position_FB,player_position_FF,player_position_FPL,player_position_FPR,player_position_HBFL,player_position_HBFR,player_position_HFFL,player_position_HFFR,player_position_INT,player_position_R,player_position_RK,player_position_RR,player_position_SUB,player_position_WL,player_position_WR,pred,player_name,brownlow_votes,match_id,match_round,player_team,season,pred_rank,predicted_votes
13,6,7,20,17,85,0,0,0,0,6,0,3,3,1,0,6,11,0,0,0,0,0,88,72,82,1,1,4,376,5,8,0,0,1,0,0,7,10,0,5,0,0,2,0,7,6.5,0,2,0,0,24,9,12,81,0,0,0,0,326,0.037900874635568516,0.047619047619047616,0.029661016949152543,0.03454231433506045,0,0,0,0,0.047619047619047616,0.02553191489361702,0.032640949554896145,0,0,0,0.04,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0075094448402523994,Kade Simpson,0,15615,1,Carlton,2020,40,0
12,8,14,26,18,69,0,0,0,0,0,6,5,7,2,4,11,18,0,2,2,0,1,87,78,101,1,4,7,347,7,2,0,0,0,1,0,7,8,1,8,0,0,0,0,17,3.8,0,1,1,0,24,9,12,81,0,0,0,0,269,0.03498542274052478,0.06349206349206349,0.059322033898305086,0.044905008635578586,0,0,0,0.058823529411764705,0.07936507936507936,0.04680851063829787,0.05341246290801187,0,0.08333333333333333,0.058823529411764705,0.056,0.02127659574468085,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.17408932745456696,Marc Murphy,0,15615,1,Carlton,2020,44,0
7,1,8,15,13,87,1,0,0,2,0,6,5,2,1,1,6,10,0,0,2,0,2,90,52,86,4,1,8,312,3,0,0,0,0,0,0,12,5,0,2,0,0,0,0,16,13.2,0,0,2,1,24,9,16,105,0,0,0,0,256,0.02040816326530612,0.007936507936507936,0.03389830508474576,0.025906735751295335,0.03571428571428571,0,0.02666666666666667,0.058823529411764705,0.07936507936507936,0.02553191489361702,0.02967359050445104,0,0,0.11764705882352941,0.024,0.0425531914893617,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01767352782189846,Shane Edwards,0,15615,1,Richmond,2020,12,0
5,5,1,6,4,67,3,1,0,2,0,1,0,6,0,3,3,3,3,5,2,0,1,97,50,74,0,0,5,133,5,0,1,0,0,5,1,2,3,0,0,0,0,0,2,7,5.9,2,0,4,2,24,9,16,105,0,0,0,0,263,0.014577259475218658,0.03968253968253968,0.00423728813559322,0.010362694300518135,0.10714285714285714,0.0625,0.02666666666666667,0.00980392156862745,0,0.01276595744680851,0.008902077151335312,0.17647058823529413,0.20833333333333334,0.058823529411764705,0.04,0.0851063829787234,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.011662472039461136,Jack Riewoldt,0,15615,1,Richmond,2020,15,0
0,1,1,1,1,100,0,0,7,1,0,0,0,0,0,0,0,1,0,0,2,0,0,21,16,33,0,0,1,-15,0,1,0,0,0,1,0,2,0,0,0,4,46.7,1,0,4,3.2,15,1,0,1,24,9,12,81,0,0,0,0,189,0,0.007936507936507936,0.00423728813559322,0.0017271157167530224,0,0,0.013333333333333334,0,0,0,0.002967359050445104,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.0015341902617365122,Matthew Kreuzer,0,15615,1,Carlton,2020,30,0
11,3,8,19,12,63,0,2,0,2,4,5,3,6,1,2,9,11,1,0,1,0,0,80,63,94,2,1,7,463,5,2,0,0,0,0,0,11,6,0,7,0,0,0,0,17,9.1,0,1,2,0,24,9,16,105,0,0,0,1,235,0.03206997084548105,0.023809523809523808,0.03389830508474576,0.03281519861830743,0,0.125,0.02666666666666667,0.049019607843137254,0.047619047619047616,0.03829787234042553,0.032640949554896145,0.058823529411764705,0,0,0.04,0.0425531914893617,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.06070702150464058,Trent Cotchin,0,15615,1,Richmond,2020,9,0
12,3,12,24,18,75,1,1,0,4,0,4,3,3,1,1,8,12,1,1,3,1,2,93,90,126,3,0,8,257,2,3,1,0,0,5,2,4,7,0,3,0,0,0,1,16,15.8,0,1,2,1,24,9,16,105,1,1,4,0,225,0.03498542274052478,0.023809523809523808,0.05084745762711865,0.04145077720207254,0.03571428571428571,0.0625,0.05333333333333334,0.0392156862745098,0.047619047619047616,0.03404255319148936,0.03560830860534125,0.058823529411764705,0.041666666666666664,0.11764705882352941,0.016,0.0425531914893617,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49591904878616333,Dustin Martin,2,15615,1,Richmond,2020,4,0
9,3,5,14,14,100,0,0,0,2,6,0,0,3,1,2,5,8,0,0,5,0,0,98,49,90,0,0,3,300,1,7,0,0,0,0,0,7,9,0,4,0,0,1,0,7,7,0,1,0,4,24,9,16,105,0,0,0,0,130,0.026239067055393587,0.023809523809523808,0.0211864406779661,0.024179620034542316,0,0,0.02666666666666667,0,0,0.02127659574468085,0.02373887240356083,0,0,0,0.008,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018915459513664246,David Astbury,0,15615,1,Richmond,2020,25,0
5,4,4,9,7,78,0,1,0,0,1,1,0,0,1,0,4,4,1,0,6,0,0,97,37,64,0,0,1,173,1,7,0,1,5,0,0,2,3,0,2,0,0,3,0,2,8.4,0,1,1,5,24,9,12,81,0,0,0,0,126,0.014577259475218658,0.031746031746031744,0.01694915254237288,0.015544041450777202,0,0.0625,0,0.00980392156862745,0,0.01702127659574468,0.011869436201780416,0.058823529411764705,0,0,0.008,0.02127659574468085,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024115322157740593,Liam Jones,0,15615,1,Carlton,2020,20,0
5,5,2,7,5,71,0,0,0,2,4,0,0,4,0,2,2,4,1,0,3,0,0,97,36,50,0,0,1,92,2,6,0,0,1,0,0,5,4,0,1,0,0,4,0,5,11.1,0,1,0,3,24,9,16,105,0,1,0,0,152,0.014577259475218658,0.03968253968253968,0.00847457627118644,0.012089810017271158,0,0,0.02666666666666667,0,0,0.00851063829787234,0.011869436201780416,0.058823529411764705,0,0,0.016,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008059866726398468,Dylan Grimes,0,15615,1,Richmond,2020,17,0
