kicks,marks,handballs,disposals,effective_disposals,disposal_efficiency_percentage,goals,behinds,hitouts,tackles,rebounds,inside_fifties,clearances,clangers,free_kicks_for,free_kicks_against,contested_possessions,uncontested_possessions,contested_marks,marks_inside_fifty,one_percenters,bounces,goal_assists,time_on_ground_percentage,afl_fantasy_score,supercoach_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,turnovers,intercepts,tackles_inside_fifty,contest_def_losses,contest_def_one_on_ones,contest_off_one_on_ones,contest_off_wins,def_half_pressure_acts,effective_kicks,f50_ground_ball_gets,ground_ball_gets,hitouts_to_advantage,hitout_win_percentage,intercept_marks,marks_on_lead,pressure_acts,rating_points,ruck_contests,score_launches,shots_at_goal,spoils,match_margin,team_behinds,team_goals,team_score,aa_team,aa_squad,coaches_votes,captain,kicks_prop,marks_prop,handballs_prop,disposals_prop,goals_prop,behinds_prop,tackles_prop,inside_fifties_prop,clearances_prop,contested_possessions_prop,uncontested_possessions_prop,contested_marks_prop,marks_inside_fifty_prop,goal_assists_prop,turnovers_prop,shots_at_goal_prop,match_outcome_Loss,match_outcome_Win,player_position_BPR,player_position_C,player_position_CHB,player_position_CHF,player_position_FB,player_position_FF,player_position_FPL,player_position_FPR,player_position_HBFL,player_position_HBFR,player_position_HFFL,player_position_HFFR,player_position_INT,player_position_R,player_position_RK,player_position_RR,player_position_SUB,player_position_WL,player_position_WR,pred,player_name,brownlow_votes,match_id,match_round,player_team,season,pred_rank,predicted_votes
14,6,11,25,19,76,0,0,0,1,5,1,1,1,1,0,4,19,0,0,1,0,0,84,92,83,0,1,2,462,2,6,0,0,0,0,0,6,9,0,4,0,0,2,0,8,7.7,0,1,0,1,33,10,9,64,0,0,0,0,0.03076923076923077,0.03571428571428571,0.03618421052631579,0.03293807641633729,0,0,0.007936507936507936,0.009345794392523364,0.01282051282051282,0.013157894736842105,0.04308390022675737,0,0,0,0.0136986301369863,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.006421204190701246,Kade Simpson,0,15408,1,Carlton,2019,17,0
16,4,13,29,21,72,1,0,0,1,4,5,1,1,1,0,6,23,0,0,0,0,0,87,97,91,0,1,7,530,5,3,0,0,0,0,0,5,9,2,5,0,0,0,1,12,14.9,0,0,1,0,33,10,9,64,0,0,0,0,0.035164835164835165,0.023809523809523808,0.04276315789473684,0.03820816864295125,0.043478260869565216,0,0.007936507936507936,0.04672897196261682,0.01282051282051282,0.019736842105263157,0.05215419501133787,0,0,0,0.03424657534246575,0.02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.20245137810707092,Marc Murphy,0,15408,1,Carlton,2019,5,0
15,3,12,27,23,85,1,0,0,2,5,3,0,4,1,1,6,17,0,0,4,0,1,78,90,93,0,0,8,434,4,6,0,0,1,0,0,12,12,0,5,0,0,0,0,15,14,0,2,1,3,33,10,9,64,0,0,0,0,0.03296703296703297,0.017857142857142856,0.039473684210526314,0.03557312252964427,0.043478260869565216,0,0.015873015873015872,0.028037383177570093,0,0.019736842105263157,0.03854875283446712,0,0,0.058823529411764705,0.0273972602739726,0.02,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.02981390431523323,Dale Thomas,0,15408,1,Carlton,2019,13,0
8,0,14,22,18,82,0,0,0,4,0,3,5,1,1,0,11,12,0,0,1,0,1,85,69,92,2,3,9,259,1,5,1,0,0,0,0,8,4,2,8,0,0,0,0,14,22.6,0,3,0,0,33,13,14,97,0,0,0,0,0.017582417582417582,0,0.046052631578947366,0.028985507246376812,0,0,0.031746031746031744,0.028037383177570093,0.0641025641025641,0.03618421052631579,0.027210884353741496,0,0,0.058823529411764705,0.00684931506849315,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.032764583826065063,Shane Edwards,0,15408,1,Richmond,2019,11,0
16,6,8,24,22,92,0,0,0,4,8,3,1,2,1,0,4,14,0,0,2,0,1,83,102,112,0,1,5,486,4,8,0,0,0,0,0,12,14,0,3,0,0,1,0,17,16,0,2,0,2,33,13,14,97,1,1,0,0,0.035164835164835165,0.03571428571428571,0.02631578947368421,0.03162055335968379,0,0,0.031746031746031744,0.028037383177570093,0.01282051282051282,0.013157894736842105,0.031746031746031744,0,0,0.058823529411764705,0.0273972602739726,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08300405740737915,Bachar Houli,0,15408,1,Richmond,2019,10,0
6,2,2,8,4,50,1,1,0,2,0,1,0,7,1,4,9,2,1,2,3,0,2,98,32,50,0,0,5,71,7,2,2,0,0,4,1,0,2,4,5,0,0,0,0,4,3.1,1,1,4,0,33,13,14,97,0,0,0,0,0.013186813186813187,0.011904761904761904,0.006578947368421052,0.010540184453227932,0.043478260869565216,0.058823529411764705,0.015873015873015872,0.009345794392523364,0,0.029605263157894735,0.0045351473922902496,0.058823529411764705,0.10526315789473684,0.11764705882352941,0.04794520547945205,0.08,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9.098514565266669e-4,Jack Riewoldt,0,15408,1,Richmond,2019,23,0
20,6,11,31,16,52,0,1,0,4,0,6,6,5,2,4,14,14,1,1,2,1,0,80,107,98,1,5,8,548,6,5,0,0,1,0,0,7,9,0,11,0,0,1,0,19,12.6,0,4,1,2,33,13,14,97,0,0,10,1,0.04395604395604396,0.03571428571428571,0.03618421052631579,0.04084321475625823,0,0.058823529411764705,0.031746031746031744,0.056074766355140186,0.07692307692307693,0.046052631578947366,0.031746031746031744,0.058823529411764705,0.05263157894736842,0,0.0410958904109589,0.02,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.034122109413147,Trent Cotchin,3,15408,1,Richmond,2019,2,2
3,2,3,6,5,83,0,0,0,2,2,0,0,5,1,2,4,2,0,0,7,0,0,68,24,36,0,0,0,45,1,6,0,2,2,0,0,6,2,0,3,0,0,2,0,6,4.6,0,0,0,6,33,13,14,97,0,0,0,0,0.006593406593406593,0.011904761904761904,0.009868421052631578,0.007905138339920948,0,0,0.015873015873015872,0,0,0.013157894736842105,0.0045351473922902496,0,0,0,0.00684931506849315,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007352536078542471,Alex Rance,0,15408,1,Richmond,2019,16,0
18,4,12,30,19,63,0,0,0,0,1,7,5,7,0,3,15,17,1,1,2,2,1,79,81,109,2,3,11,628,8,2,0,0,0,3,2,3,10,1,9,0,0,1,0,6,17,0,1,0,1,33,13,14,97,0,1,1,0,0.03956043956043956,0.023809523809523808,0.039473684210526314,0.039525691699604744,0,0,0,0.06542056074766354,0.0641025641025641,0.049342105263157895,0.03854875283446712,0.058823529411764705,0.05263157894736842,0.058823529411764705,0.0547945205479452,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4747145473957062,Dustin Martin,0,15408,1,Richmond,2019,4,0
5,1,4,9,7,78,0,0,0,0,2,0,0,0,0,0,4,4,0,0,3,0,0,92,26,40,0,0,4,175,0,5,0,0,1,0,0,6,4,0,4,0,0,0,0,6,7.5,0,2,0,3,33,13,14,97,0,0,0,0,0.01098901098901099,0.005952380952380952,0.013157894736842105,0.011857707509881422,0,0,0,0,0,0.013157894736842105,0.009070294784580499,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.895246963016689e-4,David Astbury,0,15408,1,Richmond,2019,25,0
