kicks,marks,handballs,disposals,effective_disposals,disposal_efficiency_percentage,goals,behinds,hitouts,tackles,rebounds,inside_fifties,clearances,clangers,free_kicks_for,free_kicks_against,contested_possessions,uncontested_possessions,contested_marks,marks_inside_fifty,one_percenters,bounces,goal_assists,time_on_ground_percentage,afl_fantasy_score,supercoach_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,turnovers,intercepts,tackles_inside_fifty,contest_def_losses,contest_def_one_on_ones,contest_off_one_on_ones,contest_off_wins,def_half_pressure_acts,effective_kicks,f50_ground_ball_gets,ground_ball_gets,hitouts_to_advantage,hitout_win_percentage,intercept_marks,marks_on_lead,pressure_acts,rating_points,ruck_contests,score_launches,shots_at_goal,spoils,match_margin,team_behinds,team_goals,team_score,aa_team,aa_squad,coaches_votes,captain,num_games,kicks_prop,marks_prop,handballs_prop,disposals_prop,goals_prop,behinds_prop,tackles_prop,inside_fifties_prop,clearances_prop,contested_possessions_prop,uncontested_possessions_prop,contested_marks_prop,marks_inside_fifty_prop,goal_assists_prop,turnovers_prop,shots_at_goal_prop,match_outcome_Loss,match_outcome_Win,player_position_final_C,player_position_final_F,player_position_final_HB,player_position_final_HF,player_position_final_INT,player_position_final_RK,player_position_final_W,pred,player_name,brownlow_votes,match_id,match_round,player_team,season,pred_rank,predicted_votes
12,6,1,13,11,85,0,0,0,5,1,4,2,1,1,0,6,7,3,0,0,0,0,81,77,97,0,2,1,307,2,3,1,0,0,0,0,3,10,0,1,0,0,3,1,14,9.2,0,0,0,0,22,8,7,50,0,0,0,0,46,0.03592814371257485,0.043478260869565216,0.004878048780487805,0.02411873840445269,0,0,0.03759398496240601,0.05063291139240506,0.02666666666666667,0.025423728813559324,0.023411371237458192,0.11538461538461539,0,0,0.01904761904761905,0,1,0,1,0,0,0,0,0,0,0.023432109504938126,Matthew Kennedy,0,15802,11,Carlton,2020,23,0
13,2,9,22,15,68,0,0,0,3,1,7,3,6,0,3,8,15,0,0,0,1,0,73,66,70,3,0,2,469,7,1,0,0,0,0,0,17,7,1,7,0,0,0,1,20,7.7,0,1,0,0,30,5,5,35,0,0,0,0,26,0.03367875647668394,0.011560693641618497,0.029508196721311476,0.03183791606367583,0,0,0.03488372093023256,0.08139534883720931,0.058823529411764705,0.03463203463203463,0.033112582781456956,0,0,0,0.05785123966942149,0,1,0,1,0,0,0,0,0,0,-0.03391500934958458,Luke Davies-Uniacke,0,15825,13,North Melbourne,2020,40,0
16,6,8,24,20,83,0,0,0,2,7,2,0,4,1,1,5,14,0,0,1,1,0,84,88,93,0,0,5,559,6,8,0,1,3,0,0,6,14,0,5,0,0,1,0,10,11.3,0,2,0,1,1,11,7,53,0,0,2,1,94,0.0449438202247191,0.04225352112676056,0.034782608695652174,0.040955631399317405,0,0,0.02197802197802198,0.022727272727272728,0,0.022222222222222223,0.04011461318051576,0,0,0,0.05357142857142857,0,1,0,0,0,1,0,0,0,0,0.8124332427978516,Sam Docherty,1,15651,2,Carlton,2020,6,0
3,2,4,7,6,86,0,0,0,0,0,2,0,1,0,0,3,4,1,0,0,0,0,83,23,31,0,0,1,116,2,0,0,0,0,1,0,1,3,0,2,0,0,0,0,9,3.1,0,0,0,0,3,11,8,59,0,0,0,0,7,0.008746355685131196,0.01652892561983471,0.013513513513513514,0.010954616588419406,0,0,0,0.021739130434782608,0,0.011152416356877323,0.011049723756906077,0.047619047619047616,0,0,0.015748031496062992,0,1,0,0,0,1,0,0,0,0,-4.94313077069819e-4,Fischer McAsey,0,15765,8,Adelaide,2020,36,0
8,5,9,17,14,82,1,0,0,2,2,2,1,2,1,0,6,12,0,1,1,0,1,77,72,85,1,0,5,129,2,0,0,0,0,0,0,8,6,0,3,0,0,0,1,11,7.6,0,0,1,0,24,6,11,72,0,0,0,0,41,0.02346041055718475,0.03676470588235294,0.03488372093023256,0.028380634390651086,0.04,0,0.020618556701030927,0.02,0.01639344262295082,0.02575107296137339,0.03333333333333333,0,0.05,0.058823529411764705,0.021505376344086023,0.023809523809523808,1,0,0,0,0,0,0,0,1,-0.09644762426614761,Patrick Lipinski,0,15801,11,Western Bulldogs,2020,44,0
10,1,7,17,11,65,0,0,0,5,0,3,6,4,2,1,11,5,0,0,1,0,0,88,66,77,4,2,3,244,3,3,1,0,0,1,0,8,4,1,6,0,0,0,0,19,9.9,0,0,0,1,7,11,7,53,0,0,0,0,41,0.026954177897574125,0.009615384615384616,0.03111111111111111,0.028523489932885907,0,0,0.04807692307692308,0.029411764705882353,0.1016949152542373,0.039568345323741004,0.01718213058419244,0,0,0,0.019867549668874173,0,1,0,1,0,0,0,0,0,0,0.08384853601455688,James Worpel,0,15763,8,Hawthorn,2020,17,0
10,0,4,14,6,43,0,0,0,2,3,2,2,1,1,1,2,12,0,0,0,0,0,77,44,44,1,1,2,258,5,0,1,0,0,1,0,7,3,0,0,0,0,0,0,10,0.2,0,0,0,0,66,3,18,111,0,0,0,0,110,0.02932551319648094,0,0.017391304347826087,0.024518388791593695,0,0,0.023529411764705882,0.027777777777777776,0.03571428571428571,0.009009009009009009,0.034782608695652174,0,0,0,0.052083333333333336,0,0,1,1,0,0,0,0,0,0,0.04761675000190735,Dom Sheed,0,15766,8,West Coast,2020,14,0
1,1,4,5,4,80,0,0,16,5,0,0,1,2,1,2,5,1,1,1,4,0,0,80,45,88,0,1,1,10,0,0,0,0,0,1,0,8,0,0,0,7,27.1,0,0,13,10.9,59,0,1,1,17,10,6,46,0,0,0,0,195,0.002770083102493075,0.007246376811594203,0.014760147601476014,0.007911392405063292,0,0,0.05555555555555555,0,0.015151515151515152,0.019230769230769232,0.0027548209366391185,0.058823529411764705,0.058823529411764705,0,0,0.027777777777777776,1,0,0,0,0,0,0,1,0,-0.050917912274599075,Shane Mumford,0,15748,6,Greater Western Sydney,2020,42,0
2,1,3,5,5,100,0,0,0,1,1,0,0,4,0,3,3,1,1,0,3,0,0,81,10,23,0,0,0,29,1,3,0,2,4,0,0,5,2,0,2,0,0,1,0,6,1.5,0,0,0,3,24,6,11,72,0,0,0,0,5,0.005865102639296188,0.007352941176470588,0.011627906976744186,0.008347245409015025,0,0,0.010309278350515464,0,0,0.012875536480686695,0.002777777777777778,0.07142857142857142,0,0,0.010752688172043012,0,1,0,0,0,1,0,0,0,0,-0.008301767520606518,Ryan Gardner,0,15801,11,Western Bulldogs,2020,34,0
5,5,10,15,14,93,1,0,0,0,0,1,1,1,0,0,3,12,0,1,1,0,0,91,56,70,0,1,2,126,1,3,0,0,1,0,0,4,4,1,3,0,0,1,0,10,8.7,0,1,1,1,24,2,10,62,0,0,0,0,27,0.014577259475218658,0.03355704697986577,0.03875968992248062,0.024958402662229616,0.06666666666666667,0,0,0.013888888888888888,0.01639344262295082,0.013574660633484163,0.031746031746031744,0,0.0625,0,0.008695652173913044,0.03225806451612903,0,1,0,0,0,0,0,0,1,0.0910872295498848,Josh Daicos,0,15806,11,Collingwood,2020,14,0
